case_id,legacy_case_id,manual_id,cell_number,treatment,source_image,source_fov_encrypted,global_x,global_y,raw_sha256,manual_swc_sha256
evotest_div10cc_cell1,div10_cell1,tracings_M237_totrace_Encrypted_1_0,1,Blebbistatin,260723_cc_M237_S24tdTomMFL26#02_div10_postROCKi_10x_zoom1.6_ERplate_F3_Blebbistatin.tif,1278480,9881.500000,4326.500000,11a2c32ac440e23d08d7fec5502e56e75ca506b2d507b02fc730b428af4a2bc4,9f68da551e61fd82ecc64ff66ec30aae0014391253d5d9df61e298f57c5b8ad2
evotest_div10cc_cell2,div10_cell2,tracings_M237_totrace_Encrypted_2_0,2,Blebbistatin,260723_cc_M237_S24tdTomMFL26#02_div10_postROCKi_10x_zoom1.6_ERplate_F3_Blebbistatin.tif,1278480,12251.500000,4642.500000,a02a0df4d33388b6f2f5810e4ade164ca954d59b8b7dd2029a24557572f301f5,befe3ae16cf49da5e82d44d660efc46b356d5d101950f3eeb532ea9385bd1660
evotest_div10cc_cell3,div10_cell3,tracings_M237_totrace_Encrypted_3_0,3,Blebbistatin,260723_cc_M237_S24tdTomMFL26#02_div10_postROCKi_10x_zoom1.6_ERplate_F3_Blebbistatin.tif,1278480,3250.500000,12424.500000,24355ea9acaeb8d3ae4d8602b5f2fe1612f55098c18dd997a42b3560cf96d483,5479a79cec21a647f1c63b8ac6d47721126fc6c4693d8f613cb5190d0af9dfef
evotest_div10cc_cell4,div10_cell4,tracings_M237_totrace_Encrypted_4_0,4,Blebbistatin,260723_cc_M237_S24tdTomMFL26#02_div10_postROCKi_10x_zoom1.6_ERplate_F3_Blebbistatin.tif,1278480,7974.000000,3850.000000,dac31c3021c30b60475e3cc8c030ed224dadf9011bdb41c916066903d8c56311,1235fc3b76c7c370c5507009e4180df7480439e6f92c3290a4eb1f5ab6ef300e
evotest_div10cc_cell5,div10_cell5,tracings_M237_totrace_Encrypted_5_0,5,Blebbistatin,260723_cc_M237_S24tdTomMFL26#02_div10_postROCKi_10x_zoom1.6_ERplate_F3_Blebbistatin.tif,1278480,5242.500000,6386.500000,e8dd74ecde645b8105ffa425bcd96a31fd30d416439417f5ec25f87cec12d758,e14e49192c1a3a36c09f2e8336a617b667d129d36c540390dce6aaa88bfabb0a
evotest_div10cc_cell6,div10_cell6,tracings_M237_totrace_Encrypted_6_0,6,Blebbistatin,260723_cc_M237_S24tdTomMFL26#02_div10_postROCKi_10x_zoom1.6_ERplate_F3_Blebbistatin.tif,1278480,7924.000000,7815.000000,4664c92b183d0b351d39cc774ae0caf8a74ec66f16f3e5fbd6dfc38c746d0363,2551e795da046456ebba943a591a8060a32a55c7037e48eff15572395a06d7a4
evotest_div10cc_cell7,div10_cell7,tracings_M237_totrace_Encrypted_7_0,7,Blebbistatin,260723_cc_M237_S24tdTomMFL26#02_div10_postROCKi_10x_zoom1.6_ERplate_F3_Blebbistatin.tif,1278480,5741.500000,3794.500000,98ed20acaa61a09396abffb0cbbf89d3ebbe0e7d0acb725e9680a92e7a8a2346,9568f5dd163d4f637bcfb16fc983475528b9207fecfe48811634fe8eda5acc54
evotest_div10cc_cell8,div10_cell8,tracings_M237_totrace_Encrypted_8_0,8,Blebbistatin,260723_cc_M237_S24tdTomMFL26#02_div10_postROCKi_10x_zoom1.6_ERplate_F3_Blebbistatin.tif,1278480,11064.000000,7215.000000,0da48bbdbfd073bee1bb7536f1d09c7e76ae4d951e2f54ce962e1a6720b544b4,93dd1764dc6e4a46346172c41cf9ee9c38ac76fef16a6eae7ad1e762b1f3d193
evotest_div10cc_cell9,div10_cell9,tracings_M237_totrace_Encrypted_9_0,9,Blebbistatin,260723_cc_M237_S24tdTomMFL26#02_div10_postROCKi_10x_zoom1.6_ERplate_F3_Blebbistatin.tif,1278480,9076.500000,2917.000000,3c7ecf33487b89b0c32925b410249aabe8529e869e88efd69e6a4b8f525945bf,eac5d58bb523197b12f1b5d41d0a36acc97fe39a957ad0aeefb81538f858f109
evotest_div10cc_cell10,div10_cell10,tracings_M237_totrace_Encrypted_10_0,10,Blebbistatin,260723_cc_M237_S24tdTomMFL26#02_div10_postROCKi_10x_zoom1.6_ERplate_F3_Blebbistatin.tif,1278480,3620.500000,1079.000000,42bc6a0d01191ada9bc1d17a8c3f92d4a0daffda8eba26c2ab5092276c82a524,7d29df23f7d18d23d5132c4e9f633bc6a8dd64b9e02d7a044775834c2fa2acae
evotest_div10cc_cell11,div10_cell11,tracings_M237_totrace_Encrypted_11_0,11,Blebbistatin,260723_cc_M237_S24tdTomMFL26#02_div10_postROCKi_10x_zoom1.6_ERplate_F3_Blebbistatin.tif,1278480,7005.000000,4660.500000,0b43b681464f310fa3970bbe84e033da2ddc8770aabb13ace6cff375a33003e2,045d3edcedd417e72e14f36889cc255ebcecace5b3041828a98d2e87167f6d93
evotest_div10cc_cell12,div10_cell12,tracings_M237_totrace_Encrypted_12_0,12,Blebbistatin,260723_cc_M237_S24tdTomMFL26#02_div10_postROCKi_10x_zoom1.6_ERplate_F3_Blebbistatin.tif,1278480,7389.500000,3009.000000,67ab471ef7fe3acfe7a22f8b41bead04f4badf94ceaed33bc873914cd0c84053,5308bf249e46aa89974d1272256b6aa81a7ffb97ceb9f39ffe49674db4acb8e6
evotest_div10cc_cell13,div10_cell13,tracings_M237_totrace_Encrypted_13_0,13,Blebbistatin,260723_cc_M237_S24tdTomMFL26#02_div10_postROCKi_10x_zoom1.6_ERplate_F3_Blebbistatin.tif,1278480,11631.500000,8752.000000,b1f6377118c01a923855537924170d440db831e934347f4ac60f39cfacbfc5ea,9bb8ea959d49e74e26c239d2a3d430e284d630fe6d58232c986c50c02a7fcc30
evotest_div10cc_cell14,div10_cell14,tracings_M237_totrace_Encrypted_14_0,14,Blebbistatin,260723_cc_M237_S24tdTomMFL26#02_div10_postROCKi_10x_zoom1.6_ERplate_F3_Blebbistatin.tif,1278480,6365.500000,7413.000000,e3057b2f8f6569d4b5e090e21ca5e73f5dc772ff1f2e4e929389299a2b4eb7a4,e1a97835af026c1d67087c1a4534cc6783bf219dc07975a6823b2aa7df819bbf
evotest_div10cc_cell15,div10_cell15,tracings_M237_totrace_Encrypted_15_0,15,Blebbistatin,260723_cc_M237_S24tdTomMFL26#02_div10_postROCKi_10x_zoom1.6_ERplate_F3_Blebbistatin.tif,1278480,12382.000000,7359.000000,dc5a21b36a9e4f9b080fff0675f527648687032b85d88edff0004a4743646ca8,f796d9958109b2407cfc9ded7e81f734699a8c3c53b403fa30b62662129c61fd
evotest_div10cc_cell16,div10_cell16,tracings_M237_totrace_Encrypted_16_0,16,Blebbistatin,260723_cc_M237_S24tdTomMFL26#02_div10_postROCKi_10x_zoom1.6_ERplate_F3_Blebbistatin.tif,1278480,9081.500000,4804.000000,2c7a2e7dc71a42ffa628b410c828ce37cf8cb00c2f896a294087ee5ac54e0891,d1f1bde82609335aa50471b4ac01c6266d80c253563fb51989d9c32e3efea37a
evotest_div10cc_cell17,div10_cell17,tracings_M237_totrace_Encrypted_17_0,17,Blebbistatin,260723_cc_M237_S24tdTomMFL26#02_div10_postROCKi_10x_zoom1.6_ERplate_F3_Blebbistatin.tif,1278480,9593.500000,1680.500000,dedc007a3fc4fe2568f558bb131e01f7a4f3c863a07452071012b6a3aec07383,512ce828aff04dad1e810e2216c25d1ee81586cbe833680f1f1973a1d549124b
evotest_div10cc_cell18,div10_cell18,tracings_M237_totrace_Encrypted_18_0,18,Blebbistatin,260723_cc_M237_S24tdTomMFL26#02_div10_postROCKi_10x_zoom1.6_ERplate_F3_Blebbistatin.tif,1278480,10405.000000,5878.000000,bc26ca9c05a27e83ce47fe336072b7370d5c07118db58b6d709535dd021f0d07,666856be918a4bd20f520c6c3e515890ea4b294a46ac44bc4454b6275b60ba5e
evotest_div10cc_cell19,div10_cell19,tracings_M237_totrace_Encrypted_19_0,19,Blebbistatin,260723_cc_M237_S24tdTomMFL26#02_div10_postROCKi_10x_zoom1.6_ERplate_F3_Blebbistatin.tif,1278480,5589.000000,9926.500000,51cb316474f6b245c4a7ccbbc97d4216faf61e5be25335c2cf6eb528d0ae2a22,c5f272527424e8c77f717587de33cc1a05c6aaf83727eed5ad9475d9ead9c69a
evotest_div10cc_cell20,div10_cell20,tracings_M237_totrace_Encrypted_20_0,20,Blebbistatin,260723_cc_M237_S24tdTomMFL26#02_div10_postROCKi_10x_zoom1.6_ERplate_F3_Blebbistatin.tif,1278480,7812.500000,6142.000000,f0842f12fbdfefd488fe1329bcb174d01ca5ba9a0441b8d037147058618ca53b,619d5ea0e446b98244795ea1220a6a9699cfa0b3d28f08c27ee4244319ef8db1
